TS_Ace:5750, 3338:0
TS_2:5989, 2651:0
TS_3:4367, 1759:0
TS_4:6409, 1882:0
TS_5:3461, 2452:0
TS_6:5472, 2010:0
TS_7:3433, 3250:0
TS_8:5228, 2877:0
TS_9:6351, 1336:0
TS_10:6084, 2007:0
TS_Knight:6391, 2946:0
TS_Page:4948, 1837:0
TS_Queen:5727, 1826:0
TS_King:1164, 3662:0
TC_Ace:6419, 842:0
TC_2:3122, 1896:0
TC_3:4091, 1969:0
TC_4:5475, 3027:0
TC_5:4095, 3020:0
TC_6:1141, 4234:0
TC_7:5968, 2670:0
TC_8:6121, 1686:0
TC_9:3713, 3830:0
TC_10:5051, 1646:0
TC_Knight:6160, 2663:0
TC_Page:3354, 3173:0
TC_Queen:911, 4159:0
TC_King:5091, 1012:0
TW_Ace:4252, 545:0
TW_2:4148, 2952:0
TW_3:6445, 1345:0
TW_4:6144, 1757:0
TW_5:5387, 2890:0
TW_6:6298, 2902:0
TW_7:5045, 2713:0
TW_8:5854, 2712:0
TW_9:3155, 2482:0
TW_10:6107, 2988:0
TW_Knight:5203, 3297:0
TW_Page:6029, 1333:0
TW_Queen:2213, 4038:0
TW_King:3745, 3599:0
TP_Ace:4934, 1155:0
TP_2:5119, 3375:0
TP_3:5478, 1690:0
TP_4:6272, 2977:0
TP_5:5866, 3306:0
TP_6:5446, 2976:0
TP_7:5708, 3064:0
TP_8:3745, 695:0
TP_9:6366, 1361:0
TP_10:6093, 2013:0
TP_Knight:5771, 989:0
TP_Page:5678, 2432:0
TP_Queen:1194, 3956:0
TP_King:6269, 1319:0
TW:5392, 3587:0
IW:6038, 2717:0
SW:861, 4193:0
Absinthe:3863, 3384:0
GCM:5770, 989:0
OTG:5955, 2272:0
CR:4484, 1270:0
Cognac:4368, 2282:0
LDG:6445, 1919:0
1800GQ:2951, 4018:2
1798DBSD:5877, 3386:2
1787OCT:4843, 1176:2
1794SD:3149, 2134:2
1700NYT:6048, 1753:2
1800FDB:3942, 3209:2
1792Q:4338, 1106:2
1800GD:1960, 4151:2
1792N:6137, 1451:2
1796HP:4328, 1775:2
1795HE:748, 4351:2
1797GE:5785, 2284:2
1792LQ:4351, 2234:2
1800HD:4697, 2440:2
1789P:5587, 1668:2
AR_R:4652, 1437:1
AR_SP:6139, 1753:1
AR_CR:3625, 2746:1
AR_CH:1456, 4498:1
AR_F1:2280, 3470:1
AR_S:5317, 3442:1
AR_B:4783, 2646:1
AR_Raw:5251, 2204:1
AR_Ob:2989, 2245:2
AR_Q:3573, 1794:2
AR_F2:3261, 3272:1
AR_A:4721, 1014:2
HCR:4051, 1942:1
MTR:5119, 1379:0
PMR:5989, 910:2
BPR:6380, 746:0
BTR:6380, 746:0
BDR:3303, 3350:0
YDR:5636, 3246:1
AOR:5996, 2994:2
BER:5746, 2922:2
SDR:3645, 1868:0
TTR:5057, 1665:0
GSR:4865, 1513:2
ARBB:3472, 3271:0
ORGBB:4679, 1962:2
HSB:3206, 1639:0
DPB:5575, 1270:0
ITB:5439, 2791:2
ECB:2523, 3945:2
HGBB:3743, 2758:0
UCE:3539, 3131:2
RVDE:5340, 3210:2
CTE:5860, 2548:0
ODE:4480, 1121:2
STE:4712, 1763:2
HGE:6372, 1417:0
DEE:1009, 3942:1
BRE:5996, 2306:2
EDE:2815, 2471:2
JPE:5936, 2795:2
ECE:3353, 3654:1
BMN:5634, 1894:2
RAN:5478, 2479:0
PPN:6226, 1922:0
ACN:3995, 1181:0
BAN:4961, 1598:0
RPN:5078, 1000:2
GWGN:5078, 1000:0
DTN:2309, 3825:2
TPN:4191, 1489:0
JH:1756, 3971:1
CC:5205, 3272:0
EH1:5279, 2787:0
MH:6351, 2331:1
CWH:4206, 1869:1
BC:4379, 1718:0
GHB:3744, 3593:0
EH2:6061, 2860:0
IH:6291, 1860:1
RH:5266, 1883:0
TC:6114, 2445:0
IC:4050, 2975:0
HHR:6418, 837:0
BBB:1893, 3672:0
NGRH:5669, 3024:0
Spoonbill:6049, 2576:0
Heron:5911, 2714:0
Loon:4151, 2475:0
EagleE1:3279, 2231:0
EagleE2:3978, 1246:0
VultureE:3316, 3368:0
HawkE1:5618, 1070:0
HawkE2:3939, 556:0
EgretE:5719, 2713:0
DuckE:6046, 1581:0
GooseE:4687, 2651:0
